iter	Passed	Remaining
434	31942	41488
435	32009	41407
436	32091	41344
437	32162	41267
438	32242	41203
439	32315	41128
440	32387	41053
441	32460	40979
442	32534	40907
443	32609	40835
444	32685	40765
445	32757	40690
446	32833	40619
447	32906	40546
448	32980	40472
449	33050	40395
450	33126	40324
451	33198	40250
452	33270	40174
453	33345	40102
454	33418	40028
455	33494	39958
456	33569	39887
457	33645	39816
458	33713	39736
459	33795	39673
460	33870	39600
461	33941	39525
462	34014	39451
463	34089	39379
464	34164	39307
465	34240	39236
466	34314	39163
467	34391	39094
468	34482	39041
469	34582	38996
470	34665	38934
471	34756	38879
472	34847	38825
473	34929	38760
474	35009	38695
475	35099	38638
476	35176	38568
477	35268	38514
478	35354	38454
479	35437	38390
480	35520	38326
481	35597	38255
482	35674	38185
483	35744	38107
484	35826	38042
485	35894	37962
486	35980	37901
487	36053	37826
488	36126	37751
489	36204	37682
490	36279	37609
491	36352	37534
492	36428	37462
493	36509	37396
494	36578	37317
495	36661	37252
496	36733	37176
497	36806	37102
498	36879	37027
499	36954	36954
500	37027	36879
501	37102	36807
502	37175	36732
503	37252	36660
504	37324	36585
505	37391	36504
506	37474	36439
507	37552	36369
508	37630	36299
509	37716	36237
510	37799	36171
511	37880	36104
512	37962	36038
513	38033	35961
514	38101	35882
515	38180	35812
516	38259	35743
517	38334	35670
518	38414	35601
519	38502	35540
520	38586	35475
521	38666	35407
522	38750	35341
523	38837	35279
524	38929	35222
525	39005	35149
526	39076	35072
527	39148	34996
528	39221	34921
529	39294	34845
530	39366	34770
531	39441	34696
532	39516	34622
533	39587	34546
534	39659	34470
535	39731	34394
536	39804	34319
537	39876	34243
538	39951	34169
539	40023	34094
540	40100	34022
541	40172	33946
542	40246	33871
543	40321	33798
544	40396	33725
545	40467	33648
546	40541	33574
547	40614	33499
548	40682	33420
549	40766	33354
550	40839	33279
551	40914	33205
552	40991	33134
553	41074	33067
554	41154	32997
555	41234	32928
556	41316	32860
557	41396	32790
558	41472	32718
559	41551	32647
560	41633	32579
561	41710	32507
562	41787	32435
563	41864	32363
564	41933	32284
565	42003	32207
566	42083	32137
567	42159	32065
568	42224	31984
569	42307	31915
570	42375	31837
571	42456	31767
572	42528	31691
573	42602	31617
574	42676	31543
575	42747	31466
576	42822	31393
577	42893	31316
578	42968	31243
579	43035	31163
580	43114	31093
581	43192	31021
582	43262	30944
583	43342	30874
584	43443	30818
585	43532	30755
586	43605	30679
587	43685	30609
588	43760	30535
589	43826	30455
590	43908	30386
591	43993	30319
592	44067	30245
593	44150	30177
594	44224	30102
595	44299	30028
596	44371	29952
597	44458	29886
598	44542	29818
599	44621	29747
600	44696	29673
601	44770	29599
602	44844	29524
603	44918	29449
604	44992	29375
605	45074	29305
606	45142	29227
607	45222	29156
608	45296	29081
609	45371	29008
610	45444	28932
611	45520	28859
612	45593	28783
613	45665	28708
614	45738	28632
615	45811	28557
616	45884	28482
617	45957	28407
618	46034	28334
619	46112	28262
620	46195	28193
621	46279	28125
622	46362	28055
623	46442	27984
624	46523	27914
625	46607	27845
626	46689	27775
627	46767	27702
628	46840	27627
629	46914	27552
630	46996	27482
631	47069	27407
632	47155	27339
633	47226	27263
634	47320	27200
635	47400	27128
636	47479	27056
637	47558	26984
638	47637	26912
639	47719	26842
640	47791	26766
641	47878	26698
642	47954	26624
643	48028	26549
644	48103	26475
645	48197	26411
646	48282	26342
647	48363	26271
648	48446	26201
649	48545	26139
650	48634	26072
651	48709	25998
652	48786	25924
653	48893	25866
654	48962	25789
655	49048	25720
656	49134	25651
657	49212	25578
658	49292	25506
659	49379	25437
660	49453	25362
661	49530	25288
662	49605	25214
663	49679	25139
664	49754	25064
665	49830	24990
666	49907	24916
667	49985	24843
668	50075	24775
669	50155	24703
670	50235	24631
671	50315	24558
672	50410	24493
673	50493	24422
674	50566	24346
675	50646	24274
676	50727	24202
677	50811	24131
678	50901	24063
679	50991	23996
680	51062	23919
681	51141	23846
682	51224	23774
683	51308	23703
684	51396	23634
685	51493	23569
686	51591	23505
687	51688	23439
688	51764	23365
689	51841	23291
690	51917	23216
691	52021	23154
692	52118	23088
693	52217	23023
694	52310	22956
695	52408	22891
696	52509	22826
697	52612	22763
698	52704	22695
699	52800	22628
700	52901	22564
701	53014	22504
702	53095	22431
703	53177	22358
704	53259	22285
705	53345	22214
706	53433	22144
707	53529	22077
708	53617	22006
709	53699	21933
710	53775	21857
711	53862	21787
712	53943	21713
713	54013	21635
714	54094	21562
715	54168	21485
716	54245	21410
717	54313	21331
718	54397	21259
719	54469	21182
720	54552	21109
721	54638	21038
722	54712	20961
723	54784	20884
724	54875	20814
725	54966	20744
726	55055	20674
727	55147	20604
728	55229	20530
729	55301	20454
730	55379	20379
731	55469	20308
732	55550	20234
733	55625	20158
734	55699	20082
735	55783	20009
736	55863	19935
737	55947	19862
738	56023	19786
739	56106	19713
740	56187	19639
741	56272	19566
742	56357	19493
743	56440	19420
744	56519	19345
745	56592	19268
746	56671	19194
747	56746	19117
748	56835	19046
749	56921	18973
750	57005	18900
751	57089	18827
752	57174	18754
753	57251	18678
754	57329	18603
755	57403	18526
756	57479	18451
