iter	Passed	Remaining
399	62733	547666
400	62882	547442
401	63039	547282
402	63196	547131
403	63357	547011
404	63517	546879
405	63676	546741
406	63834	546596
407	63989	546423
408	64145	546259
409	64305	546124
410	64457	545931
411	64620	545826
412	64774	545640
413	64929	545468
414	65083	545286
415	65238	545113
416	65391	544926
417	65547	544769
418	65697	544556
419	65853	544391
420	66014	544263
421	66173	544124
422	66327	543947
423	66483	543783
424	66642	543643
425	66795	543457
426	66949	543282
427	67116	543201
428	67276	543075
429	67430	542892
430	67593	542789
431	67748	542611
432	67909	542493
433	68065	542330
434	68229	542226
435	68391	542115
436	68549	541961
437	68702	541775
438	68861	541635
439	69020	541495
440	69179	541359
441	69333	541175
442	69486	540988
443	69646	540858
444	69804	540713
445	69955	540511
446	70112	540350
447	70272	540223
448	70433	540092
449	70591	539945
450	70750	539808
451	70902	539610
452	71060	539460
453	71216	539300
454	71370	539121
455	71523	538934
456	71679	538771
457	71859	538788
458	72012	538601
459	72165	538420
460	72323	538267
461	72476	538080
462	72627	537880
463	72782	537709
464	72931	537500
465	73090	537354
466	73246	537189
467	73397	536996
468	73552	536825
469	73713	536697
470	73876	536587
471	74035	536445
472	74189	536266
473	74346	536111
474	74506	535974
475	74660	535800
476	74819	535657
477	74977	535508
478	75133	535345
479	75292	535200
480	75450	535058
481	75604	534878
482	75756	534690
483	75916	534551
484	76067	534356
485	76224	534202
486	76387	534087
487	76546	533940
488	76699	533756
489	76858	533614
490	77015	533465
491	77167	533274
492	77324	533117
493	77477	532930
494	77631	532753
495	77786	532587
496	77939	532404
497	78100	532276
498	78263	532158
499	78414	531964
500	78562	531745
501	78723	531618
502	78887	531511
503	79042	531340
504	79202	531203
505	79357	531038
506	79514	530883
507	79676	530761
508	79833	530603
509	79983	530403
510	80146	530284
511	80302	530118
512	80458	529956
513	80614	529800
514	80773	529657
515	80928	529483
516	81092	529372
517	81252	529236
518	81408	529074
519	81576	528991
520	81732	528832
521	81888	528666
522	82044	528504
523	82205	528372
524	82363	528223
525	82520	528069
526	82678	527919
527	82835	527765
528	82991	527599
529	83151	527461
530	83303	527276
531	83459	527114
532	83615	526951
533	83766	526755
534	83920	526582
535	84078	526430
536	84237	526285
537	84395	526138
538	84550	525970
539	84709	525827
540	84865	525667
541	85021	525503
542	85185	525387
543	85340	525217
544	85494	525047
545	85645	524855
546	85810	524744
547	85962	524558
548	86121	524413
549	86276	524248
550	86434	524098
551	86589	523927
552	86749	523789
553	86909	523651
554	87062	523474
555	87223	523340
556	87374	523148
557	87528	522974
558	87693	522864
559	87851	522717
560	88008	522559
561	88167	522415
562	88320	522237
563	88475	522068
564	88634	521921
565	88791	521764
566	88946	521600
567	89103	521442
568	89259	521280
569	89415	521117
570	89572	520964
571	89728	520802
572	89882	520626
573	90029	520413
574	90182	520235
575	90342	520099
576	90502	519957
577	90655	519778
578	90831	519730
579	90990	519587
580	91142	519402
581	91301	519259
582	91464	519133
583	91616	518950
584	91776	518813
585	91932	518647
586	92090	518498
587	92245	518332
588	92406	518195
589	92569	518074
590	92724	517905
591	92882	517755
592	93043	517623
593	93197	517448
594	93359	517323
595	93515	517160
596	93674	517015
597	93833	516870
598	93982	516666
599	94143	516535
600	94298	516368
601	94459	516233
602	94616	516077
603	94771	515908
604	94928	515749
605	95091	515625
606	95248	515472
607	95405	515314
608	95561	515154
609	95721	515013
610	95882	514879
611	96035	514700
612	96200	514586
613	96359	514440
614	96518	514291
615	96670	514108
616	96827	513956
617	96983	513792
618	97144	513656
619	97301	513503
620	97457	513341
621	97612	513174
622	97766	512998
623	97928	512870
624	98088	512730
625	98248	512584
626	98407	512440
627	98558	512252
628	98712	512082
629	98868	511920
630	99031	511796
631	99203	511713
632	99356	511538
633	99510	511364
634	99666	511200
635	99822	511041
636	99977	510872
637	100131	510702
638	100293	510572
639	100448	510403
640	100605	510247
641	100762	510092
642	100923	509952
643	101075	509773
644	101233	509619
645	101392	509472
646	101548	509314
647	101701	509137
648	101867	509024
649	102023	508863
650	102180	508707
651	102339	508557
652	102507	508456
653	102664	508299
654	102822	508145
655	102987	508029
656	103144	507874
657	103299	507704
658	103451	507526
659	103605	507355
660	103759	507181
661	103915	507021
662	104066	506833
663	104221	506668
664	104388	506560
665	104555	506451
666	104705	506257
667	104859	506089
668	105013	505914
669	105183	505820
670	105336	505647
671	105489	505469
672	105646	505314
673	105803	505158
674	105956	504982
675	106114	504830
676	106271	504672
677	106426	504504
678	106582	504343
679	106745	504216
680	106903	504061
681	107055	503885
682	107212	503723
683	107370	503573
684	107523	503399
685	107672	503205
686	107829	503046
687	107986	502891
688	108140	502719
689	108294	502548
690	108454	502404
691	108608	502235
692	108758	502045
693	108918	501903
694	109069	501721
695	109227	501567
696	109380	501394
697	109542	501258
698	109696	501089
699	109856	500947
700	110029	500860
701	110189	500717
702	110352	500589
703	110507	500422
704	110665	500272
705	110830	500149
706	110988	499999
707	111146	499844
708	111303	499689
709	111463	499545
710	111613	499354
711	111766	499180
712	111928	499045
713	112082	498874
714	112239	498720
715	112393	498548
716	112547	498378
717	112704	498224
718	112859	498058
719	113017	497906
720	113171	497733
721	113323	497557
722	113484	497417
723	113637	497241
724	113784	497043
725	113940	496879
726	114097	496724
727	114258	496584
728	114415	496427
729	114572	496272
730	114726	496100
731	114884	495948
732	115040	495790
733	115199	495641
734	115353	495470
735	115506	495298
736	115661	495129
737	115824	495000
738	115983	494853
739	116141	494699
740	116294	494526
741	116442	494329
742	116604	494193
743	116764	494052
744	116918	493883
745	117081	493752
746	117238	493593
747	117395	493436
748	117550	493272
749	117710	493129
750	117874	493000
751	118042	492888
752	118200	492737
753	118359	492587
754	118516	492431
755	118678	492294
756	118832	492128
757	118990	491974
758	119144	491803
759	119303	491657
760	119453	491468
761	119606	491297
762	119761	491133
763	119918	490973
764	120075	490817
765	120225	490632
766	120385	490487
767	120539	490320
768	120695	490156
769	120850	489992
770	121008	489839
771	121168	489697
772	121326	489544
773	121484	489391
774	121645	489252
775	121804	489103
776	121960	488939
777	122111	488760
778	122270	488612
779	122427	488455
780	122581	488285
781	122738	488130
782	122895	487973
783	123056	487829
784	123216	487686
785	123367	487506
786	123522	487342
787	123683	487199
788	123842	487051
789	123999	486894
790	124157	486740
791	124312	486578
792	124463	486397
793	124621	486242
794	124777	486084
795	124938	485939
796	125092	485773
797	125250	485619
798	125410	485476
799	125563	485303
800	125724	485162
801	125883	485011
802	126031	484820
803	126192	484680
804	126349	484523
805	126505	484362
806	126658	484189
807	126810	484013
808	126973	483878
809	127131	483728
810	127290	483580
811	127446	483419
812	127609	483282
813	127769	483137
814	127926	482981
815	128090	482849
816	128246	482689
817	128404	482538
818	128561	482381
819	128718	482225
820	128901	482163
821	129056	481999
822	129217	481855
823	129370	481683
824	129528	481532
825	129687	481382
826	129854	481263
827	130011	481104
828	130172	480963
829	130324	480786
830	130480	480628
831	130635	480461
832	130797	480323
833	130961	480192
834	131117	480031
835	131278	479889
836	131437	479740
837	131589	479564
838	131753	479432
839	131915	479292
840	132076	479149
841	132227	478971
842	132377	478790
843	132540	478654
844	132695	478489
845	132854	478339
846	133011	478181
847	133170	478032
848	133327	477874
849	133486	477725
850	133644	477572
851	133801	477415
852	133954	477241
853	134112	477089
854	134271	476939
855	134429	476783
856	134589	476638
857	134746	476481
858	134906	476333
859	135059	476163
860	135212	475990
861	135369	475834
862	135529	475687
863	135685	475528
864	135844	475377
865	136001	475218
866	136162	475075
867	136322	474931
868	136480	474776
869	136639	474626
870	136798	474476
871	136953	474312
872	137112	474161
873	137272	474014
874	137440	473895
875	137598	473739
876	137756	473586
877	137918	473446
878	138080	473305
879	138240	473160
880	138397	473001
881	138553	472842
882	138706	472669
883	138866	472524
884	139019	472352
885	139179	472205
886	139341	472063
887	139494	471894
888	139650	471733
889	139799	471548
890	139953	471379
891	140106	471209
892	140262	471050
893	140419	470891
894	140574	470728
895	140737	470592
896	140893	470431
897	141044	470252
898	141201	470095
899	141358	469939
900	141514	469778
901	141670	469618
902	141827	469460
903	141982	469297
904	142144	469155
905	142294	468975
906	142456	468834
907	142610	468668
908	142767	468509
909	142920	468337
910	143075	468176
911	143237	468034
912	143381	467835
913	143551	467721
914	143709	467566
915	143867	467413
916	144017	467233
917	144174	467076
918	144323	466893
919	144485	466751
920	144645	466604
921	144802	466445
922	144960	466293
923	145120	466143
924	145281	466001
925	145433	465827
926	145587	465659
927	145744	465502
928	145905	465357
929	146068	465220
930	146222	465054
931	146377	464889
932	146538	464743
933	146691	464575
934	146843	464401
935	147002	464250
936	147160	464097
937	147319	463945
938	147480	463800
939	147642	463659
940	147800	463505
941	147958	463352
942	148135	463257
943	148286	463081
944	148441	462916
945	148600	462765
946	148759	462614
947	148913	462449
948	149062	462265
949	149216	462099
950	149374	461947
951	149530	461786
952	149683	461616
953	149836	461447
954	149993	461287
955	150144	461114
956	150303	460963
957	150458	460799
958	150618	460650
959	150777	460498
960	150935	460344
961	151092	460187
962	151253	460043
963	151415	459900
964	151574	459751
965	151735	459605
966	151895	459457
967	152053	459303
968	152214	459156
969	152374	459007
970	152533	458858
971	152692	458705
972	152842	458528
973	152985	458328
974	153158	458219
975	153315	458060
976	153479	457923
977	153635	457763
978	153791	457605
979	153954	457463
980	154115	457318
981	154274	457167
982	154430	457007
983	154594	456869
984	154752	456717
985	154907	456553
986	155062	456389
987	155216	456224
988	155376	456074
989	155539	455935
990	155699	455786
991	155848	455606
992	156006	455450
993	156163	455294
994	156323	455145
995	156481	454989
996	156634	454820
997	156790	454660
998	156948	454507
999	157099	454330
1000	157259	454181
1001	157412	454015
1002	157570	453858
1003	157726	453698
1004	157882	453538
1005	158044	453397
1006	158204	453248
1007	158368	453108
1008	158526	452954
1009	158679	452787
1010	158831	452613
1011	158983	452444
1012	159141	452287
1013	159295	452122
1014	159452	451966
1015	159615	451826
1016	159776	451678
1017	159928	451508
1018	160081	451339
1019	160237	451177
1020	160393	451019
1021	160544	450845
1022	160706	450700
1023	160860	450536
1024	161011	450360
1025	161164	450192
1026	161322	450039
1027	161482	449888
1028	161637	449727
1029	161794	449568
1030	161948	449403
1031	162103	449240
1032	162261	449084
1033	162424	448945
1034	162583	448793
1035	162736	448626
1036	162896	448476
1037	163058	448331
1038	163220	448187
1039	163376	448028
1040	163530	447862
1041	163687	447704
1042	163841	447538
1043	163992	447367
1044	164162	447244
1045	164320	447089
1046	164477	446932
1047	164630	446763
1048	164782	446592
1049	164938	446433
1050	165093	446270
1051	165249	446111
1052	165406	445954
1053	165564	445798
1054	165722	445644
1055	165878	445483
1056	166029	445311
1057	166185	445150
1058	166343	444997
1059	166490	444812
1060	166648	444657
1061	166805	444501
1062	166959	444335
1063	167114	444172
1064	167293	444074
1065	167448	443910
1066	167606	443755
1067	167761	443593
1068	167915	443429
1069	168081	443294
1070	168237	443134
1071	168388	442961
1072	168551	442820
1073	168706	442659
1074	168863	442502
1075	169017	442335
1076	169171	442170
1077	169326	442007
1078	169488	441863
1079	169647	441712
1080	169811	441573
1081	169969	441418
1082	170121	441247
1083	170276	441084
1084	170437	440937
1085	170592	440776
1086	170748	440616
1087	170902	440450
1088	171061	440298
1089	171219	440144
1090	171377	439990
1091	171536	439837
1092	171701	439700
1093	171863	439555
1094	172018	439392
1095	172173	439231
1096	172326	439063
1097	172480	438898
1098	172638	438742
1099	172795	438586
1100	172955	438435
1101	173116	438289
1102	173276	438138
1103	173431	437978
1104	173589	437822
1105	173747	437668
1106	173901	437504
1107	174062	437354
1108	174217	437193
1109	174373	437032
1110	174529	436873
1111	174693	436733
1112	174854	436586
1113	175005	436413
1114	175158	436247
1115	175318	436096
1116	175468	435922
1117	175627	435770
1118	175792	435632
1119	175948	435473
1120	176103	435310
1121	176266	435166
1122	176426	435017
1123	176585	434864
1124	176746	434717
1125	176903	434560
1126	177065	434415
1127	177222	434257
1128	177380	434103
1129	177535	433940
1130	177695	433791
1131	177852	433634
1132	178012	433483
1133	178166	433317
1134	178326	433167
1135	178482	433008
1136	178646	432868
1137	178802	432708
1138	178963	432560
1139	179119	432400
1140	179277	432244
1141	179436	432092
1142	179587	431921
1143	179743	431762
1144	179902	431608
1145	180066	431469
1146	180231	431329
1147	180389	431174
1148	180542	431006
1149	180695	430840
1150	180855	430689
1151	181012	430532
1152	181168	430372
1153	181324	430214
1154	181483	430061
1155	181641	429906
1156	181798	429749
1157	181955	429591
1158	182110	429428
1159	182274	429287
1160	182429	429126
1161	182581	428956
1162	182742	428809
1163	182905	428664
1164	183061	428506
1165	183216	428343
1166	183375	428190
1167	183537	428045
1168	183691	427880
1169	183856	427742
1170	184019	427597
1171	184178	427444
1172	184334	427286
1173	184487	427119
1174	184645	426962
1175	184806	426814
1176	184956	426641
1177	185121	426501
1178	185280	426349
1179	185435	426187
1180	185583	426010
1181	185743	425858
1182	185904	425711
1183	186080	425595
1184	186235	425435
1185	186393	425279
1186	186551	425123
1187	186716	424985
1188	186872	424824
1189	187025	424658
1190	187182	424500
1191	187337	424338
1192	187492	424175
1193	187648	424016
1194	187802	423851
1195	187959	423693
1196	188118	423540
1197	188267	423367
1198	188427	423214
1199	188581	423051
1200	188739	422895
1201	188900	422746
1202	189065	422607
1203	189225	422457
1204	189383	422300
1205	189538	422139
1206	189695	421981
1207	189855	421831
1208	190010	421669
1209	190163	421503
1210	190317	421338
1211	190479	421192
1212	190636	421033
1213	190791	420873
1214	190953	420726
1215	191117	420583
1216	191270	420418
1217	191430	420265
1218	191585	420104
1219	191738	419938
1220	191896	419784
1221	192059	419637
1222	192217	419483
1223	192378	419335
1224	192535	419177
1225	192695	419025
1226	192845	418853
1227	193005	418702
1228	193156	418532
1229	193312	418371
1230	193461	418196
1231	193614	418030
1232	193772	417876
1233	193931	417723
1234	194088	417566
1235	194245	417408
1236	194400	417245
1237	194560	417094
1238	194711	416924
1239	194865	416760
1240	195025	416609
1241	195178	416444
1242	195337	416290
1243	195489	416122
1244	195649	415971
1245	195800	415802
1246	195956	415642
1247	196110	415477
1248	196269	415324
1249	196430	415174
1250	196583	415009
1251	196741	414854
1252	196901	414703
1253	197057	414544
1254	197219	414396
1255	197374	414235
1256	197534	414083
1257	197688	413919
1258	197843	413758
1259	198007	413615
1260	198167	413465
1261	198328	413315
1262	198484	413156
1263	198640	412995
1264	198800	412844
1265	198956	412685
1266	199116	412534
1267	199272	412373
1268	199424	412206
1269	199581	412049
1270	199733	411881
1271	199892	411728
1272	200056	411586
1273	200211	411422
1274	200368	411265
1275	200529	411117
1276	200687	410962
1277	200846	410808
1278	201002	410648
1279	201156	410485
1280	201316	410332
1281	201472	410174
1282	201629	410015
1283	201788	409863
1284	201946	409707
1285	202105	409553
1286	202263	409399
1287	202419	409239
1288	202572	409073
1289	202748	408954
1290	202909	408806
1291	203063	408642
1292	203222	408489
1293	203374	408319
1294	203529	408159
1295	203693	408014
1296	203854	407866
1297	204015	407716
1298	204176	407566
1299	204332	407407
1300	204477	407227
1301	204642	407084
1302	204801	406930
1303	204956	406769
1304	205113	406612
1305	205262	406439
1306	205418	406279
1307	205573	406116
1308	205736	405972
1309	205899	405827
1310	206055	405667
1311	206216	405517
1312	206378	405368
1313	206535	405212
1314	206690	405049
1315	206848	404893
1316	207009	404744
1317	207168	404592
1318	207328	404439
1319	207480	404272
1320	207634	404109
1321	207796	403961
1322	207955	403807
1323	208114	403653
1324	208269	403492
1325	208428	403338
1326	208582	403174
1327	208735	403009
1328	208893	402854
1329	209049	402694
1330	209206	402538
1331	209360	402374
1332	209516	402215
1333	209674	402059
1334	209838	401914
1335	209995	401757
1336	210153	401601
1337	210307	401439
1338	210467	401286
1339	210625	401131
1340	210784	400978
1341	210943	400823
1342	211102	400671
1343	211259	400513
1344	211417	400357
1345	211575	400201
1346	211735	400048
1347	211887	399882
1348	212047	399731
1349	212209	399583
1350	212368	399429
1351	212522	399265
1352	212679	399107
1353	212832	398943
1354	212990	398787
1355	213143	398623
1356	213301	398467
1357	213454	398302
1358	213613	398147
1359	213765	397981
1360	213925	397829
1361	214083	397672
1362	214243	397521
1363	214403	397369
1364	214566	397222
1365	214726	397071
1366	214885	396916
1367	215047	396768
1368	215206	396614
1369	215364	396459
1370	215521	396301
1371	215682	396151
1372	215840	395996
1373	215996	395837
1374	216149	395670
1375	216309	395520
1376	216466	395362
1377	216624	395205
1378	216778	395042
1379	216938	394891
1380	217098	394739
1381	217256	394582
1382	217412	394423
1383	217571	394269
1384	217723	394102
1385	217883	393950
1386	218043	393798
1387	218205	393649
1388	218365	393497
1389	218526	393348
1390	218679	393182
1391	218836	393025
1392	218991	392863
1393	219151	392712
1394	219310	392557
1395	219465	392397
1396	219626	392246
1397	219784	392090
1398	219933	391918
1399	220090	391761
1400	220254	391615
1401	220414	391463
1402	220573	391309
1403	220730	391151
1404	220890	390999
1405	221041	390831
1406	221203	390682
1407	221364	390531
1408	221519	390371
1409	221674	390209
1410	221831	390051
1411	222010	389933
1412	222171	389783
1413	222326	389621
1414	222483	389464
1415	222636	389299
1416	222787	389131
1417	222948	388980
1418	223102	388818
1419	223260	388661
1420	223416	388502
1421	223571	388340
1422	223723	388174
1423	223878	388014
1424	224039	387863
1425	224200	387713
1426	224365	387568
1427	224520	387408
1428	224682	387259
1429	224837	387098
1430	225001	386953
1431	225161	386799
1432	225321	386647
1433	225474	386483
1434	225625	386315
1435	225791	386172
1436	225958	386032
1437	226111	385867
1438	226270	385712
1439	226429	385559
1440	226582	385395
1441	226740	385238
1442	226902	385090
1443	227063	384939
1444	227214	384771
1445	227369	384609
1446	227529	384457
1447	227681	384290
1448	227836	384130
1449	227990	383968
1450	228149	383813
1451	228308	383659
1452	228465	383500
1453	228626	383350
1454	228788	383201
1455	228950	383052
1456	229107	382894
1457	229260	382729
1458	229413	382565
1459	229566	382401
1460	229728	382251
1461	229888	382099
1462	230044	381940
1463	230204	381787
1464	230362	381631
1465	230523	381479
1466	230680	381322
1467	230839	381168
1468	230990	381000
1469	231155	380856
1470	231314	380701
1471	231467	380538
1472	231625	380382
1473	231783	380225
1474	231946	380078
1475	232102	379918
1476	232253	379751
1477	232419	379608
1478	232583	379461
1479	232744	379311
1480	232895	379142
1481	233053	378987
1482	233211	378831
1483	233371	378678
1484	233532	378526
1485	233691	378371
1486	233846	378211
1487	234002	378052
1488	234163	377900
1489	234324	377749
1490	234479	377588
1491	234636	377431
1492	234795	377277
1493	234951	377116
1494	235107	376959
1495	235269	376808
1496	235432	376661
1497	235589	376502
1498	235747	376347
1499	235905	376189
1500	236066	376038
1501	236221	375877
1502	236380	375723
1503	236535	375562
1504	236685	375394
1505	236843	375237
1506	237004	375086
1507	237165	374935
1508	237320	374773
1509	237475	374613
1510	237631	374455
1511	237792	374302
1512	237952	374150
1513	238115	374001
1514	238275	373848
1515	238420	373671
1516	238576	373512
1517	238733	373355
1518	238889	373196
1519	239053	373048
1520	239211	372892
1521	239366	372732
1522	239520	372570
1523	239680	372416
1524	239840	372263
1525	240001	372111
1526	240155	371949
1527	240317	371800
1528	240479	371650
1529	240637	371494
1530	240794	371336
1531	240955	371185
1532	241114	371029
1533	241298	370913
1534	241456	370757
1535	241611	370596
1536	241770	370441
1537	241928	370285
1538	242086	370130
1539	242249	369980
1540	242403	369818
1541	242558	369658
1542	242711	369493
1543	242869	369337
1544	243022	369174
1545	243185	369025
1546	243341	368866
1547	243507	368721
1548	243663	368562
1549	243818	368402
1550	243980	368252
1551	244138	368095
1552	244292	367932
1553	244446	367770
1554	244605	367616
1555	244767	367465
1556	244924	367307
1557	245085	367155
1558	245240	366995
1559	245402	366844
1560	245556	366682
1561	245718	366533
1562	245875	366374
1563	246027	366210
1564	246180	366046
1565	246336	365886
1566	246501	365741
1567	246658	365582
1568	246816	365426
1569	246973	365268
1570	247131	365113
1571	247291	364959
1572	247445	364797
1573	247602	364639
1574	247759	364481
1575	247910	364315
1576	248062	364150
1577	248222	363997
1578	248378	363837
1579	248538	363684
1580	248698	363530
1581	248860	363380
1582	249019	363225
1583	249174	363064
1584	249336	362913
1585	249490	362751
1586	249645	362590
1587	249805	362438
1588	249958	362274
1589	250120	362123
1590	250276	361965
1591	250436	361811
1592	250591	361651
1593	250751	361497
1594	250911	361343
1595	251071	361190
1596	251230	361036
1597	251390	360882
1598	251545	360721
1599	251699	360560
1600	251858	360404
1601	252010	360239
1602	252172	360089
1603	252329	359931
1604	252485	359772
1605	252641	359613
1606	252797	359453
1607	252949	359289
1608	253107	359132
1609	253265	358976
1610	253423	358820
1611	253582	358664
1612	253736	358503
1613	253893	358344
1614	254052	358190
1615	254208	358031
1616	254360	357866
1617	254512	357701
1618	254677	357555
1619	254841	357407
1620	254997	357248
1621	255154	357089
1622	255311	356932
1623	255471	356779
1624	255630	356624
1625	255792	356474
1626	255946	356311
1627	256104	356155
1628	256261	355997
1629	256417	355837
1630	256571	355676
1631	256729	355519
1632	256887	355364
1633	257048	355211
1634	257203	355051
1635	257359	354892
